Date,Tweet,Ticker,Score
2020-04-09,parcel service target lowered citigroup,UPS,-0.933302402496338
2020-04-09,parcel service receives hold rating chase,UPS,-0.0180313140153884
2020-04-09,parcel service downgraded group neutral,UPS,-1.002030611038208
2020-04-12,parcel service given average recommendation analysts,UPS,0.8525652885437012
2020-04-13,fade driven optimism,UPS,0.474942535161972
2020-04-13,parcel service come yield hope best,UPS,0.9694056510925292
2020-04-13,first informative pivot points close pivot point download free tradingview stockstowatch,UPS,0.8400322198867798
2020-04-18,parcel service rating lowered barclays,UPS,-0.880561113357544
2020-04-19,parcel service downgraded group rrndmuyyrz,UPS,-1.004913330078125
2020-04-19,tekmunnee friday closed slightly below radar fails crossovers watch green snap trend,UPS,-1.079353094100952
2020-04-19,friday closed slightly below radar fails crossovers watch green snap trend stockstotrade stockstowatch optionstrading ibcgdlgvob,UPS,-0.9516974687576294
2020-04-21,parcel service hold rating reaffirmed keycorp,UPS,0.1632383614778518
2020-04-21,estimates parcel service analyst yowrcromgy,UPS,-0.7913215160369873
2020-04-21,parcel service release earnings tuesday,UPS,0.0203331336379051
2020-04-22,parcel service expected earnings,UPS,0.394658625125885
2020-04-22,parcel service forecasted earnings,UPS,0.3205205798149109
2020-04-24,oppenheimer cuts parcel service target,UPS,-0.7593890428543091
2020-04-24,billion sales expected parcel service quarter,UPS,0.3130654096603393
2020-04-24,recent analysts ratings updates parcel service trspgkomgw,UPS,0.0666278451681137
2020-04-27,capital lowers parcel service target,UPS,-0.272442102432251
2020-04-27,breaks stop,UPS,-0.5918543338775635
2020-04-28,parcel service earnings results xalarmuaff,UPS,0.0402391329407691
2020-04-28,falling themotleyfool gokandhncd,UPS,-0.6551519632339478
2020-04-28,parcel service given target goldman sachs group analysts,UPS,0.2120510190725326
2020-04-28,berenberg bank analysts give parcel service target,UPS,0.1779966056346893
2020-04-28,parcel service results earnings call presentation zzkhlvwgyd business,UPS,0.0576782524585723
2020-04-28,parcel service misses estimate sales beat estimate suspends buyback earnings stockmarket ycctcszzud,UPS,0.1966486126184463
2020-04-28,premarket slashes buybacks coronavirus weighs earnings,UPS,-0.8810857534408569
2020-04-28,parcel service scheduled announce earnings results tuesday april before open consensus estimate consensus revenue estimate earnings stockmarket,UPS,0.5324263572692871
2020-04-29,csfb trims parcel service target,UPS,-0.0168492645025253
2020-04-29,tekmunnee move demark counter exit sequential sell setup combo sell setup both perfection sell sign,UPS,0.7799986600875854
2020-04-29,move demark counter exit sequential sell setup combo sell setup both perfection sell signals occuring stockstobuy optionstrading wait signals aligning above support,UPS,0.9789302349090576
2020-04-29,parcel service target,UPS,-0.964380145072937
2020-04-29,parcel service target analysts chase bombofkfbz,UPS,-0.922452449798584
2020-05-04,dowjones nyse breakingnews nasdaq usdjpy china trump nikkei shanghai xauusd brent corona coronavirus eurusd focus dividend date,UPS,0.0053069405257701
2020-05-08,parcel service given average recommendation hold analysts,UPS,-0.0151498913764953
2020-05-09,parcel service parcel service equity,UPS,0.0211341045796871
2020-06-01,june carol start female within first female female appointments visit boardexalerts,UPS,0.1968651115894317
2020-06-03,dowjones nasdaq stockmarket usdjpy shanghai xauusd eurusd brent breaking gold trump johnnybravo stocktowatch wells fargo raises target parcel service,UPS,0.8420636653900146
2020-06-05,parcel service neutral technical analysis score score breakdown categories candle score weak moving average score good momentum score good stockmarket,UPS,0.8674401044845581
2020-06-07,zacks analysts expect parcel service,UPS,0.0881998986005783
2020-06-08,slumping carol tome bought large block barronsonline stockmarket stockmarketnews news stocktrading business wallstreet alpha alphanews,UPS,0.0350674092769622
2020-06-09,billion sales expected parcel service quarter,UPS,0.3172632455825805
2020-06-13,dividend dream themotleyfool,UPS,0.083519771695137
2020-06-15,citigroup increases parcel service target,UPS,0.7758522033691406
2020-06-18,parcel service lifted deutsche bank,UPS,0.9107778072357178
2020-06-19,excellent fundamental analysis score score check various indicators value score chart roic gross margin ebitda stockmarket nsghaqvtev,UPS,0.9785070419311525
2020-06-22,analysts recent ratings updates parcel service,UPS,0.1399039924144745
2020-06-22,breakingoptions pivot squeeze neutral upside downside,UPS,-0.0646605342626571
2020-06-22,pivot squeeze neutral upside downside earn while learn days free classes life gold silver plan optionstrading,UPS,0.8770633935928345
2020-06-30,louisvelazquez koao petenajarian lays logisitcs knowledge halftimereport attention along,UPS,-0.4414962232112884
2020-06-30,remains stockmarket business,UPS,0.9600261449813844
2020-07-01,company profile fundamental technical analysis score update score score stockmarket invest,UPS,0.0471483655273914
2020-07-07,parcel service good technical analysis score score breakdown categories candle score weak moving average score excellent momentum score excellent stockmarket,UPS,0.9591691493988036
2020-07-08,options flow grid update optionstrading parcel service optionsflow optiontrading stockmarket,UPS,0.1557939052581787
2020-07-09,zone what analysis says,UPS,0.7412707805633545
2020-07-09,parcel service raised hubllpssep,UPS,0.8678140640258789
2020-07-10,parcel service target increased analysts credit suisse group,UPS,0.9082080125808716
2020-07-10,options flow grid update optionstrading parcel service optionsflow optiontrading stockmarket dekkseoouj,UPS,0.0870039165019989
2020-07-15,growers momentumhunter stockstowatch stockpicks,UPS,0.2512726485729217
2020-07-15,july angela hwang started role independentdirector boardexalerts,UPS,-0.0619634911417961
2020-07-16,parcel service excellent technical analysis score score breakdown categories candle score neutral moving average score excellent momentum score excellent stockmarket,UPS,0.9668756723403932
2020-07-16,raymond james boosts parcel service target adtjbrdseo,UPS,-0.1569744944572448
2017-03-01,sorry nothing error code,UPS,-0.5
2017-03-31,check wearable vintage jewelry sterling silver trifari monet ebay,UPS,0.0
2017-03-31,thewayneking heroes welcome repmarkmeadows asheville rocuqjakuo,UPS,1.0
2017-03-31,reuters verizon creates operating structure hires former ericsson,UPS,0.0
2017-03-31,employees blow olds request barbie mirror disgu,UPS,0.34
2017-04-01,worsened lately unreliable reliably fail,UPS,-0.3
2017-04-28,seen parked madison avenue driver side window worldwide blockages parallelparking,UPS,0.0
2017-05-31,caindeanna delivery vehicles were bicycles nears upsbikes contribute,UPS,0.0
2017-05-31,morganstanley autos energy sector lower costs better efficiency rule making real engines growth,UPS,0.75
2017-05-31,mswndrlnd wanted steal what,UPS,0.0
2017-06-30,rogers global sustainability commitment strategic framework sustaianbledevelopment kztznsdolh,UPS,0.0
2017-06-30,reuters pell case shows poor judgment stain pope francis legacy victims,UPS,-0.35
2017-07-31,come party bounceexchange localytics etail east happy hour august,UPS,0.0
2017-08-31,taking level cveuvykijy,UPS,-0.6
2017-08-31,verizon exclusive concert experiences tickets rewards really really want vzup,UPS,-0.3333333333333333
2017-08-31,reuters holocaust survivor celebrates mitzvah israel years later,UPS,0.0
2017-09-30,charlitosway shipping full goods knowing crisis island shouldn high,UPS,0.35
2017-10-31,reuters australia westpac lead actor rates rigging regulator tells court,UPS,0.0
2017-10-31,tmobile does iphone order cancelled,UPS,0.0
2017-10-31,song wanna live forever hour jshowchicago,UPS,0.1363636363636363
2017-11-01,cutest delivery happyhallowen,UPS,0.0
2017-11-30,ghod interesting xfinity bfrhmrrzts,UPS,0.0
2017-11-30,james holiday wish came true secondary school kenya wishesdelivered,UPS,0.35
2017-11-30,attempted deliver package tries deliver,UPS,0.0
2017-11-30,barnacules told netneutrality dead already changed pledge include,UPS,0.3636363636363637
2017-11-30,james walk miles walk retweet feeling inspired holiday seas,UPS,0.0
2017-11-30,honest fucking thought good idea really,UPS,0.0
2017-12-01,james walk miles walk retweet feeling inspired holiday seas,UPS,0.0
2017-12-01,james holiday wish came true secondary school kenya wishesdelivered,UPS,0.35
2017-12-29,incredible video does special plan result every middle class family,UPS,0.0
2017-12-29,christeledumas upshelp thomann great answer help services nothing than,UPS,0.0
2018-10-01,monsoon mayhem upsairlines landing mumbaiairport runway monsoon boein,UPS,0.0
2018-10-01,paid package delivered sept returned saturday almost days later claiming,UPS,0.0
2018-10-01,contacts weekend waiting hearing about being compensated time milage frus flpvhadmsj,UPS,0.0
2018-10-19,congrats club member jordan selected foundation road code ambas,UPS,0.0
2018-10-22,phone customer service home saturday called promised,UPS,0.2857142857142857
2018-10-22,ivankatrump thank signing pledgetoamericasworkers commitment directly impact improve lives,UPS,0.0
2018-10-22,kenneykay ivankatrump princess theclownprince always humours flow,UPS,0.0
2018-10-23,fedex ayeyokejo rather airandground thanks,UPS,0.2
2018-10-23,guess staking claim shipping better step fedex,UPS,0.0
2018-10-24,uspshelp gotcha problem wondering since both fedex somethi,UPS,0.0
2018-10-24,welcomingcenter hermangild freelibrary token photo diversity philly ranks izudzxjmwd,UPS,0.0
2018-10-28,seriously what hell,UPS,0.0
2018-10-29,davidaklar attempt reduce delivery emissions officially launched bike delivery solution seattle,UPS,0.0
2018-10-29,aghastnvr swatted ordered door what fuck,UPS,-0.1318181818181818
2018-10-30,aghastnvr swatted ordered door what fuck,UPS,-0.1318181818181818
2018-09-01,what foundersday look blending core values modern innovations,UPS,0.1181818181818181
2018-09-10,repstefanik plenty time photo time real hold public town halls,UPS,0.0
2018-09-04,check newest edition horizons sustainability newsletter created offer perspective sustainabili,UPS,0.0
2018-09-05,revrosenwinkel trash delivery driver parked bike land forcing cyclists into busy traf,UPS,0.0
2018-09-06,drivers drive doors open,UPS,0.0
2018-09-07,upshelp sent white hoodie someone july lost item speaking,UPS,0.0
2018-09-07,ontracabby amazonhelp usps haven received package bother prime,UPS,0.0
2018-09-08,making late date waiting around special delivery elonmusk point what wort cvqekvtcae,UPS,0.0285714285714285
2018-09-08,news purchased delivery trucks directly compete fedex usps xupvzkruhq,UPS,0.1
2018-09-11,rydercupusa proud partner joined worldwide supplier rydercup provide,UPS,0.8
2018-09-12,shesdaise doubt taken benefits,UPS,0.8
2018-09-13,openings,UPS,0.0
2018-09-13,maybe whoever does someone doesn whatever reason enemy,UPS,0.0
2018-09-13,uspshelp usps does fraction what does decide deliver goods,UPS,0.0
2018-09-13,upshelp past months packages never make door despite easily recieving,UPS,0.0916666666666666
2018-09-13,wmbtweets patrick browne director global sustainability says ambitious goal date reduce absolute,UPS,0.25
2018-09-14,dear usps fedex deliver package actual door stop ringing fucking buzzer,UPS,0.0
2018-09-18,hire people holiday season,UPS,0.0
2018-09-18,diverse inclusive environments breed innovation brilliance award winning employees juan perez honor,UPS,0.0
2018-09-20,upshelp sorry hear mike please know anything,UPS,-0.5
2018-09-20,october ecommerce symposium presented sponsoring event kczzxdsshf,UPS,0.0
2018-09-21,worst company gaurenteed delivery turns into maybe mention,UPS,-1.0
2018-09-22,role guys deliver time upssucks alwayslate lpoumkxbhg,UPS,0.0
2018-09-22,upshelp failed deliver literally told multiple reps package,UPS,-0.5
2018-09-26,person local delivery called shaming them social media,UPS,0.0166666666666666
2018-09-26,upshelp pack bubble wrap foam wrap paper heirloom china family,UPS,0.0
2018-09-27,gets phone things take turn better wait reall,UPS,0.0
2018-09-27,thespazgamer case anyone thinks customer service competent than abysmal delivery services please check,UPS,0.5
2018-09-28,fucked protocol receive package leave slip someone fdtzvhrcmk,UPS,-0.75
2018-09-29,gvsufootball player game receiver nick dodson receptions yards average,UPS,-0.275
2018-10-01,dark truths bill cosby playboy mansion useful idiot elites wake,UPS,-0.475
2018-10-01,operating conditions package delayed delivery rescheduled meanwhile,UPS,-0.125
2018-10-01,ordinaryish look stard walking around tesco prob wanted free shirt votes labour,UPS,0.0
2018-10-01,jobs open danieatupsjobs waste management allwmjobs star senior living,UPS,-0.1
2018-10-01,data center size likely reach valuation billion grand view research,UPS,0.1333333333333333
2018-10-01,refrainbow london concert pick selling these enamel pins london stop october,UPS,0.0
2018-10-01,elifoo taylorswiftdelivery promo these trucks cool,UPS,0.35
2018-10-01,want work hiring yarmouth click details labor jobs careerarc,UPS,0.0
2018-10-01,roywoods migos drake brought trvisxx htown houston toyota center ryhpnppqit,UPS,0.0
2018-10-01,open jobs vonkqhdwny,UPS,0.0852272727272727
2018-10-01,states force globemaster etsn,UPS,0.0
2018-10-01,operating conditions package delayed delivery rescheduled meanwhile,UPS,0.0
2018-10-01,themotleyfool speed retail world moves these days easy forget only years basically afte,UPS,0.0
2018-10-01,digital ocean automattic backblaze among inaugural members bandwidth alliance,UPS,0.0
2018-10-01,ronniedelcarmen mary blair concept alice talking doorknob voiced joseph kearns wilson dennis,UPS,-0.78
2018-10-01,truck driver daddy seriously fuck himself narrow minded hick bigot morris county,UPS,-0.4
2018-10-01,sorteo internacional samsung galaxy fortnite royal bomber code,UPS,0.0
2018-10-01,kenshirriff thinks push solution despite,UPS,0.0
2018-10-01,join team latest opening finance southfield hiring careerarc,UPS,0.0
2018-10-01,giveaway samsung note teclado gaming mouse gamer,UPS,0.0
2018-10-01,joshdcaplan guns stolen facility memphis tennessee,UPS,0.0
2018-10-01,operating conditions package delayed delivery rescheduled meanwhile,UPS,-0.3125
2018-10-01,darlingxxdarla women shoes heels items darlingdarla svintageshop store ebay womensshoes heel,UPS,0.0
2018-10-01,nascaronfox considering lowe sure long count fedex stic,UPS,0.0
2018-10-01,want work hiring oakland click details engineering jobs careerarc,UPS,0.0
2018-10-02,operating conditions package delayed delivery rescheduled meanwhile,UPS,-0.125
2018-10-02,toadskii mines comes samsung galaxy,UPS,0.0
2018-10-02,haetbitmark adidas offline online store buyers emoticons,UPS,0.0
2018-10-02,guns stolen local reward offered,UPS,0.0
2018-10-02,embraces manucrafturing leather wrapped laptop,UPS,0.0
2018-10-02,vastagency excited launch giveaway make sure instructions below ends paypa,UPS,0.0
2018-10-18,jobs open danieatupsjobs gejobs xilinx xilinxjobs,UPS,0.25
2018-10-18,ptrlyons bunsofham keep delivering wrong address salty feckin fortune supposed,UPS,0.0
2018-10-18,stephenecume stephen hope bringing heat because cold outside,UPS,0.0
2018-10-18,demmyiii usps public competitor keeping private shipping companies fedex check consolidation,UPS,0.0
2018-10-18,amzdeal multi functional door pull exercise door pull chin,UPS,0.0
2018-10-18,biden worried president seems love affair autocrats,UPS,-0.4
2018-10-18,join team latest opening transportation hereford england hiring careerarc,UPS,0.0
2018-10-18,assaulttsethu suntv youtube channel sony music youtube channel sarkarteasertomorrow,UPS,0.0
2018-10-18,best advice give comes cars honda drive honda years only,UPS,0.0
2018-10-18,upsjobs booth sure stop hear about woman engineering learn,UPS,0.0
2018-10-18,stopthecaravan government mexico dispatched planes filled federal police officers southe,UPS,-0.5
2018-10-18,want work hiring greeley click details labor jobs careerarc,UPS,0.0
2018-10-18,rdzaminhat tealive shaftsbury cyberjaya white hyundai arab pakistani hunting starts retweet please,UPS,0.0
2018-10-18,indianaifill battling appreciate support possible after making contact vodafone,UPS,0.0
2018-10-18,techpp samsung unveils galaxy book rival surface read tagszgldss,UPS,0.0
2018-10-18,audi field supposed cure ills print edition took look,UPS,0.0
2018-10-18,imrankhanpti condemnable terrorist attack targeting kandahar governor police chief chief condolences prayers,UPS,0.0
2018-10-18,june illinois federal judge denied mcdonald motion dismiss leilnani deslandes case against mcdonald stating,UPS,0.0
2018-10-18,sportsjoedotie things little crazy sportsjoefantv outside aviva ireland fans were fuming after wales,UPS,0.0
2018-10-18,grantenfinger gift shop saturday ready race know final,UPS,0.0666666666666666
2018-10-18,sceptre class ebay,UPS,0.0
2018-10-18,mcdonald hope blackout tonight,UPS,0.0
2018-10-18,reports revenues income kate,UPS,0.0
2018-10-18,want sued adidas supreme,UPS,0.6
2018-10-18,cointelegraph allegedly deemed crypto high risk true what,UPS,0.0
2018-10-18,incorrectly sorted package pinche nani fuck doing damn package gamestop,UPS,-0.5
2018-10-18,mamoonfart looking sugar rule meet rule send money bank acct good,UPS,0.7
2018-10-19,jojokejohn winne pooh figures tigger piglet fisher inches ebay disneyfisherprice,UPS,0.0
2018-10-19,groucidjamila want save rainforest large companies unilever nestle mondelez stop buying palm,UPS,0.125
2018-10-19,need nobody needs powerful karen well nobody needs mcdonald cheeseburg,UPS,0.0
2018-10-19,itechcaptain device activated verizon network lock removed,UPS,0.0
2018-10-19,demmyiii since usps raise fedex able charge well likely,UPS,0.3
2018-10-19,samsung galaxy watch silver smartwatch lxwpdzierm,UPS,0.0
2018-10-19,network engineer teksystems anchorage teksystems seeking network engineer contract opport,UPS,0.0
2018-10-19,androidauth android power think huawei mate samsung galaxy note better smartphone,UPS,0.0
2018-10-19,ukfootball saturday back lights field need bring energy,UPS,0.0
2018-10-19,souq samsung galaxy note full samsung offer shop,UPS,0.0
2018-10-19,talk about curveball director sports marketing fired charged fraud fake invoices,UPS,0.0
2018-10-19,osxreverser looks awesome send something,UPS,0.0
2018-10-20,panama city proud families friends community serve amazing,UPS,0.0
2018-10-20,largest companies korea samsung hyundai group weareoneexo oetn,UPS,0.5
2018-10-20,scottpresler people signed tickets houston trump cruz rally toyota center,UPS,0.0
2018-10-20,worst store check swear,UPS,0.0
2018-10-21,canthandlemillz fedex plate,UPS,0.0
2018-10-21,sign open check,UPS,0.0
2018-10-21,asshole buttfucked white didn give fuck hole,UPS,-0.2
2018-10-21,want work hiring bend click details jobs careerarc,UPS,0.0
2018-10-21,hugs fellow deepveerians always sticked together through thick thin through downs,UPS,-0.35
2018-10-22,people bundled line sleeping front toyota center overnight holding spots friends warming,UPS,0.0
2018-10-22,signs secret santa open sign form pflrshbpla information check,UPS,-0.2
2018-10-22,first name basis name super based patriotic fedex guys,UPS,0.25
2018-10-23,want work hiring coppell click details finance jobs careerarc,UPS,0.0
2018-10-23,join team latest opening hooskjgcsq opensource rennes brittany hiring careerarc,UPS,0.0
2018-10-24,davelackie love burberry giving away burberry velvet crush oxblood honey nude hudson enter,UPS,0.0
2018-10-24,kexo managed samsung goods arrived holographic showcase invitation along,UPS,0.15
2018-10-24,proposed ring completely happy about size costs,UPS,0.15
2018-10-24,duak please location contact details assist,UPS,0.0
2018-10-24,haven heard partnership before,UPS,0.375
2018-10-24,racist rant ryanair flight prompts investigation british police christine hauser york,UPS,0.0
2018-10-24,anyone disbelieving chronic issue talked verizon operators cannot what networ,UPS,-0.25
2018-10-24,realjameswoods bunch bombs were sent york florida usps fedex delivered same,UPS,0.1363636363636363
2018-10-24,breaking multiple people shot inside grocery store outskirts louisville kentucky police,UPS,0.1083333333333333
2018-10-24,dropped ballots were anyway behind counter,UPS,-0.4
2018-10-24,reports multiple people shot outside louisville kentucky,UPS,0.0
2018-10-25,york sues misleading climate change risk,UPS,0.1
2018-10-25,digislice refurb macbook laptop coupon code,UPS,0.0
2018-10-25,iamdjtrayd male female anybody weds icons fake shit best costume ticket,UPS,0.1571428571428571
2018-10-25,fabionpicheco fedex postman says package truck help yourself dont return,UPS,0.0
2018-10-27,dodgers really need better base running clutch hitting less,UPS,0.0466666666666666
2018-10-27,toyota corolla model cars sale each please contact please retweet,UPS,0.0
2018-10-27,jobs open danieatupsjobs emerson bank,UPS,0.0
2018-10-27,wants operations supervisor freight south bend,UPS,0.2
2018-10-27,stevelemongello synagogue shooter reportedly says jews shooter attempted enter black church reportedl,UPS,0.0
2018-10-27,sharepoint free webinar webinar series teamwork governance learn microsoftteams sharepoint yammer work,UPS,0.0
2018-10-27,join team latest opening labor decatur hiring careerarc,UPS,0.0
2018-10-27,almost game time tune action look sideline photos after,UPS,0.0
2018-10-28,close ikon unwatermarked enjoy ikoncontinuetour ikoninaustralia ikoninsydney,UPS,0.4
2018-10-28,website currently inaccessible apparently payment processor stripe suspending them earlier bann,UPS,0.0
2018-10-28,media writing hate articles about were banned,UPS,0.4
2018-10-28,adidas dragon ball goku available purchase free shipping,UPS,0.625
2018-10-28,nosiphozmtshali colgate yourself prove another penis small hayi niyazistressa,UPS,0.0
2018-10-28,bakermayfield making little magic happen browns,UPS,0.0
2018-10-28,step accept love life because were ramon flash,UPS,0.5
2018-10-28,thepracticaldev announced acquire open source software company billion author,UPS,0.0
2018-10-29,wwexol received inquiries regarding album preorder specifically confirmed albums sold through only count,UPS,0.0
2018-10-29,money looks better come piggies escape destiny send tribute findom cahsmaster,UPS,0.0
2018-10-29,xbox looking brighter future custom radiation king samsung qled custom xbox,UPS,0.0
2018-10-29,nibalizer redhat folks know nothing about deal happy while happy answer questions about,UPS,0.0
2018-10-29,exolefirstclass fact chanyeol mercedes wagon kyungsoo maserati ghibli baekhyun audi reall,UPS,0.0
2018-10-29,drawpile close screams,UPS,0.0
2018-10-29,tomzapiecki nice catch probably painted within days missed,UPS,0.2
2018-10-29,buys open source software company billion eqryibjbgd fthyjarqpj,UPS,0.0
2018-10-29,pharmacist tech jobs company pharmacy pharmacist pharmacytechnician nqtgjobkwn,UPS,0.0
2018-10-29,samsung original earphones contact whatsup cash delivery,UPS,0.0
2018-10-29,balqissidiqia confirmed crashed lion passenger plane lost contact ground control,UPS,0.0
2018-10-29,flylifestylehq adidas grey camo available purchase free shipping options lryx,UPS,0.0
2018-10-29,realfidelotieno kenyan flew jkia through unknown routes atlantic ocean york chinese thinks,UPS,0.0
2018-10-29,mcdonald thailand announce successful implementation omisego interview published mcdo,UPS,0.0
2018-10-29,order samsung galaxy mobilescouk ezmobiles data unlimited mins text love,UPS,0.0
2018-10-29,baby ready ebygzhrewh,UPS,0.0
2018-10-29,raiders logo sign stadium nevada fuck know what,UPS,-0.0424242424242424
2018-10-29,alabama mcdonald gunman killed armed injured shootout injuries were considered,UPS,0.0
2018-10-29,seattletimes launches electric assisted tricycle delivery service seattle hoping reduce congestion make downtown,UPS,0.0
2018-10-29,emfarl word sensitive thing move something half inch pictures move pages inserte,UPS,0.0
2018-10-29,defend alabama mcdonald gunman killed armed injured shootout hero beca,UPS,0.0
2018-10-29,envinyon basically confirmed sony cracking really hard games sexual content course certain,UPS,0.0
2018-10-29,analyticsexo dmumt allegro andante best sellers preorder respectively wear,UPS,0.0
2018-10-29,join team latest opening labor jerome hiring careerarc,UPS,0.0
2018-10-29,koenyilz stage sandwiched between hyde yoshiki cool handsome good voice bornfreeonekiss,UPS,0.0
2018-10-29,timkmak house cmte chairman devin nunes district report tightest race political life opponent,UPS,0.0
2018-10-29,foxbusiness after pittsburgh synagogue shooting banned godaddy medium suspended platforms deirdrebolt,UPS,0.2857142857142857
2018-10-29,anyone wonder isafraidof theclintons thinking about comey inaction congress inves,UPS,0.0
2018-10-29,meet bryant goldbach owensboro verizon employee wife maryanne goldbach owns goldbachs watch,UPS,0.0
2018-10-29,avivauksupport trick treat want aviva branded power bank give away avivauksup,UPS,0.0
2018-10-29,deeoneayekooto arik skye bank were both swallowed jonathan election buhari think american,UPS,0.0
2018-10-30,sssierramist wearing adidas shame really,UPS,0.0
2018-10-30,jayztwocents yeah cheap samsung phone hardly really call,UPS,0.0
2018-10-30,total security data breaches every protecting applications yahoo,UPS,0.0
2018-10-30,drive merica audi,UPS,0.0
2018-10-30,yaani kenyan pilot distance about chinese wont allow people stee,UPS,-0.125
2018-10-30,refurb asus signature edition core atom convertible only nniiceffbx,UPS,0.0
2018-10-30,alabama mcdonald gunman killed armed injured shootout righttobeararms rightofselfprotection,UPS,0.0
2018-10-30,greatgreycious know choice mercedes benz,UPS,0.0
2018-10-30,getongab jack murdered innocent people grocery louisville local media wdrbnews reports,UPS,0.0
2018-10-30,yaani kenyan pilot distance about chinese wont allow people stee,UPS,0.0
2018-10-30,good explanation enjoy manual gearbox stick shift dvmyswciyw,UPS,0.0
2018-10-30,matter fact future already using drones manage inventory warehouses,UPS,0.0
2018-10-30,ebay only days only each hand painted gourds gourdart gourd tweeted,UPS,0.0
2018-10-30,baxbooksdeux hugo boss made fortune clothing nazis volkswagen made fortune supplying them vehicles bayer,UPS,0.0
2018-10-30,looking join cintas corporation cintascareers danieatupsjobs baker hughes company,UPS,0.0
2018-10-30,upcoming storylines dream team epic saturday,UPS,0.0
2018-10-30,series review technology news,UPS,0.0
2018-10-30,check amazing samsung headphones,UPS,0.0
2018-10-30,join team latest opening skilledtrade waterville hiring careerarc,UPS,0.0
2018-10-30,want work hiring rockland click details labor jobs careerarc,UPS,0.0
2018-10-30,xbox looking brighter future custom radiation king samsung qled custom xbox,UPS,0.0
2018-10-30,numbers trip watch animations design zdjmswqjoz,UPS,0.0
2018-10-31,beaulooo does take long xbox trying throw lassos around people,UPS,-0.05
2018-10-31,potus freedomcaucus genflynn team part military project able dang,UPS,0.0
2017-01-31,hyundai accent models which expected future hyundai accent,UPS,0.0
2017-01-31,forecast trails estimates currency exchange headwinds bsafunds mercha,UPS,-0.125
2017-01-31,sliding after weak earnings logistics package delivery company,UPS,-0.375
2017-01-31,sony playstation,UPS,0.0
2017-01-31,mashable after signature shipping drops,UPS,0.0
2017-01-31,msedgedev take closer look edge better windows creators update,UPS,0.3
2017-01-31,applied jobs sams coub applied couple stations boosted approved appeal,UPS,0.0
2017-01-31,teams sign famerts,UPS,0.0
2017-01-31,looking flow example creating cases acumatica acumaticasummit,UPS,0.4161487926136364
2017-01-31,patches flaws windows office edge,UPS,0.0
2017-01-31,bustedcoverage floyd mayweather mercedes benz class ebay,UPS,-0.4
2017-02-01,pack samsung dryer drum roller pack samsung dryer drum roller linkez,UPS,0.0
2017-02-01,roslynmonic paid fees verizon wear work jacket everywhere fees jacket,UPS,-0.75
2017-02-01,rllygaykkk giveaway optifine capes stay active retweet ends want,UPS,0.0
2017-02-28,destiny taken king legendary edition sony playstation used ejrxklpqtc,UPS,0.0
2017-02-28,later valerie bertinelli stars sunday movie love returned twice followed late local news,UPS,0.0
2017-02-28,jaketapper horsleyscott reminds made america dreamliner fuselage italy wings japan doors france,UPS,0.0
2017-02-28,outrageous spicer personally arranged push back uwjqddcfcw thedailybeast maxine waters maxinewaters,UPS,-0.3318181818181818
2017-02-28,hoboken water main break honda being taking sink hole,UPS,0.0
2017-02-28,weird back boss swears love temporary,UPS,0.025
2017-02-28,existing nook owners toward samsung galaxy nook until while supplies bookselle kspufmbsli,UPS,0.0
2017-02-28,swiftonsecurity solve problems creates hire,UPS,0.0
2017-03-01,gonna look time showing already printed label thanks heads,UPS,0.1
2017-03-01,minimum wage carrier chrysler fiat neither navy contractors fear success maga,UPS,-0.0471590909090908
2017-03-01,edelsonpc major class action filed charities allege withheld donations mislead donors jayedelson,UPS,0.0
2017-03-31,audisport mattiasekstroem bull audi redbull redbullmotors leagueofperformance,UPS,0.0416666666666666
